,PLAYER,POS,TEAM,GP,MPG,nFGp,nFTp,nX3PM,nPTS,nTREB,nAST,nSTL,nBLK,nTO,score,USG_
105,Patrick Patterson,PF/C,OKC,75,26,-1.236996175,0.756485681,0.503330066,-1.389559015,-0.512520477,-0.923152084,-0.430520424,-0.481851945,1.330973694,-0.152442082,11.5
106,Bojan Bogdanovic,SG/SF,IND,78,27,-0.147931311,0.998561099,0.618772742,-0.305890162,-0.875438203,-0.872219555,-1.306155184,-1.110354482,0.677253805,-0.189677256,14.8
107,Reggie Bullock,SG/SF,DET,65,26,-0.147931311,0.151297136,0.503330066,-0.818169984,-1.117383354,-0.66848944,-0.722398677,-0.900853636,1.330973694,-0.223457205,15.2
108,Marvin Williams,SF/PF,CHA,78,25,-0.510952932,0.998561099,0.272444715,-0.896982264,-0.189926943,-0.872219555,-1.014276931,-0.062850254,1.200229716,-0.31224322,15
109,Jonathan Isaac,PF,ORL,69,27,-0.873974553,0.151297136,-0.535654015,-0.975794544,-0.028630176,-1.025017142,1.612627351,2.032158203,0.415765849,-0.356775365,18.7
110,Rudy Gay,SF/PF,SAS,60,28,-0.147931311,0.151297136,-0.535654015,-0.010344112,0.253639166,-0.617556911,0.445114337,0.146650592,0.154277894,-0.412865672,20.5
111,Kristaps Porzingis,PF/C,NYK,45,28,-0.510952932,0.272334845,0.38788739,0.69896641,0.33428755,-0.923152084,-1.014276931,2.870161585,0.154277894,-0.423962476,NA
112,Tyler Johnson,PG/SG,MIA,72,23,-0.692463743,0.393372554,-0.073883312,-0.739357703,-0.996410778,-0.515691854,-0.430520424,-0.481851945,0.93874176,-0.427338979,18.1
113,Stanley Johnson,SG/SF,DET,73,28,-1.600017796,-0.090778282,-0.189325988,-0.837873054,-0.391547902,-0.464759325,0.73699259,-0.691352791,0.415765849,-0.429978209,18.1
114,DeMarcus Cousins,PF/C,GSW,35,26,-0.147931311,-0.3328537,0.618772742,0.87629404,1.342392344,0.401093664,0.445114337,0.775153129,-2.460601662,-0.452180579,NA
115,Kelly Oubre Jr,SF,WAS,78,25,-0.873974553,0.393372554,-0.073883312,-0.581733143,-0.512520477,-1.025017142,-0.13864217,-0.481851945,0.93874176,-0.487161453,NA
116,Nikola Vucevic,PF/C,ORL,69,28,0.215090311,-0.211815991,-0.42021134,0.304905009,1.423040727,-0.057299095,-0.13864217,0.775153129,0.023533916,-0.499529671,26.6
117,Danny Green,SG/SF,TOR,71,25,-1.600017796,0.151297136,0.38788739,-1.231934455,-0.754465628,-0.617556911,-0.13864217,0.565652283,0.93874176,-0.510207249,15.5
118,Carmelo Anthony,SF/PF,HOU,70,26,-1.055485364,0.151297136,0.38788739,0.009358958,-0.230251135,-0.923152084,-1.014276931,-0.272351099,0.807997783,-0.580887747,15.8
119,LaMarcus Aldridge,PF/C,SAS,72,33,0.578111932,0.514410263,-1.112867394,1.033918601,1.01979881,-0.566624383,-1.014276931,1.403655666,0.546509827,-0.598930016,27.7
120,Al-Farouq Aminu,SF/PF,POR,74,28,-1.418506985,-0.453891409,0.503330066,-0.975794544,0.535908509,-0.821287027,0.445114337,-0.062850254,0.677253805,-0.625274772,13.7
121,E'Twaun Moore,SG/SF,NOR,75,30,0.215090311,-0.695966827,0.272444715,-0.562030073,-1.03673497,-0.311961739,-0.13864217,-0.691352791,0.807997783,-0.628158311,17
122,Solomon Hill,SG/SF,NOR,72,23,-0.692463743,1.119598808,-0.189325988,-1.310746735,-0.915762395,-0.821287027,-0.722398677,-0.481851945,1.200229716,-0.723929903,10.5
123,Rondae Hollis-Jefferson,SF/PF,BKN,71,29.5,0.0335795,-0.090778282,-1.343752745,0.166983519,0.737529467,-0.108231624,0.73699259,0.146650592,-0.107210062,-0.745996604,NA
124,De'Aaron Fox,PG,SAC,76,30,-0.873974553,-0.3328537,-0.651096691,0.009358958,-0.915762395,0.961351481,0.153236083,-0.691352791,-0.891673928,-0.751677797,19.1
125,Kyle Anderson,SG/SF,MEM,73,27.5,0.578111932,-0.574929118,-1.112867394,-1.172825245,0.052018207,-0.057299095,1.612627351,0.356151438,0.546509827,-0.758783673,15.7
126,Caris LeVert,SF,BKN,70,27,-0.692463743,-0.938042245,0.041559363,-0.404405513,-0.512520477,0.401093664,0.445114337,-0.691352791,-0.368698017,-0.823378411,25.8
127,Joel Embiid,PF/C,PHI,58,31,0.215090311,0.030259427,0.041559363,2.156993593,2.310172946,0.248296078,-0.430520424,2.870161585,-2.983577573,-0.936989535,36
128,P.J. Tucker,SF,HOU,79,28,-1.418506985,-0.211815991,0.157002039,-1.488074365,0.092342399,-0.923152084,0.445114337,-0.691352791,1.069485738,-0.951440326,NA
129,Lonzo Ball,PG,LAL,70,30,-1.418506985,-3.358796424,0.38788739,-0.719654633,0.374611741,1.725339412,1.320749097,0.356151438,-0.368698017,-1.013173175,15.7
130,Ersan Ilyasova,SF/PF,MIL,68,24,-0.692463743,-0.090778282,0.272444715,-0.719654633,0.052018207,-0.821287027,-0.722398677,-0.691352791,0.93874176,-1.142932144,14.3
131,Larry Nance Jr,PF/C,CLE,70,25,2.030198417,-0.938042245,-1.459195421,-0.680248493,0.939150426,-0.770354498,1.320749097,0.565652283,1.330973694,-1.196117866,NA
132,Markieff Morris,PF/C,WAS,72,27,-0.147931311,0.514410263,-0.42021134,-0.562030073,0.092342399,-0.617556911,-0.13864217,-0.062850254,0.023533916,-1.200496315,20.7
133,Kyle Kuzma,SF/PF,LAL,77,28,-0.329442121,-0.574929118,0.734215417,0.166983519,0.092342399,-0.66848944,-1.014276931,-0.481851945,0.154277894,-1.202218659,26.9
134,Myles Turner,PF/C,IND,70,30,0.578111932,0.272334845,-0.535654015,0.127577379,0.535908509,-0.821287027,-0.722398677,2.66066074,0.415765849,-1.263661646,20.4
135,Shaquille Harrison,PG,PHO,70,20,0.215090311,-0.3328537,-1.22831007,-1.192528315,-0.956086587,-0.057299095,0.73699259,-0.691352791,0.807997783,-1.266000806,20.3
136,Trey Burke,PG,NYK,70,22,-0.147931311,-0.695966827,-0.189325988,-0.424108583,-1.439976888,0.655756308,-1.306155184,-1.110354482,0.677253805,-1.282546469,21.7
137,James Ennis,SG/SF,HOU,71,25,-0.147931311,0.272334845,-0.304768664,-0.916685334,-0.835114011,-0.923152084,-0.430520424,-0.691352791,0.93874176,-1.3640499,NA
138,DeMarre Carroll,SF/PF,BKN,72,24,-1.055485364,-0.453891409,0.272444715,-0.818169984,-0.149602751,-0.770354498,-0.722398677,-0.691352791,1.069485738,-1.422884115,16.4
139,Nemanja Bjelica,PF,SAC,70,24,-0.510952932,-0.090778282,-0.073883312,-1.212231385,-0.189926943,-0.719421969,-0.430520424,-0.481851945,1.069485738,-1.457349633,15.4
140,Kelly Olynyk,PF/C,MIA,72,24,0.215090311,0.030259427,0.041559363,-0.562030073,0.052018207,-0.311961739,-0.430520424,-0.272351099,-0.23795404,-1.470647485,21
141,Elfrid Payton,PG,NOR,70,30,-0.510952932,-1.180117662,-0.881982042,-0.266484022,-0.149602751,1.776271941,0.445114337,-0.481851945,-1.41464984,-1.521847289,15.7
142,Mikal Bridges,SF,PHO,72,22,-0.329442121,0.030259427,-0.304768664,-1.015200684,-0.835114011,-0.872219555,-0.430520424,-0.272351099,1.069485738,-1.522964162,12.3
143,Brandon Ingram,SG/SF,LAL,74,33.5,0.0335795,-1.180117662,-0.535654015,0.6398572,-0.10927856,0.604823779,-0.430520424,-0.062850254,-0.630185973,-1.531797096,25.6
144,T.J. Warren,SF,PHO,66,25,0.396601121,-0.090778282,-1.22831007,0.127577379,-0.593168861,-1.025017142,-0.430520424,-0.481851945,1.069485738,-1.5775628,NA
145,Dante Exum,PG/SG,UTA,70,20,0.0335795,0.514410263,-0.997424718,-0.837873054,-1.278680121,0.299228607,-0.722398677,-0.900853636,0.154277894,-1.589779686,12.8
146,Markelle Fultz,PG/SG,PHI,70,26,-0.873974553,-2.753607879,-0.42021134,-0.345296303,-0.391547902,1.165081596,0.73699259,-0.272351099,0.023533916,-1.593507419,21
147,Mike Muscala,PF/C,PHI,65,20,-0.147931311,0.87752339,-0.073883312,-1.291043665,-0.512520477,-0.872219555,-1.306155184,-0.062850254,1.069485738,-1.596292589,11.3
148,Josh Hart,SG/SF,LAL,70,24.5,0.0335795,-0.574929118,0.041559363,-0.936388404,-0.391547902,-0.770354498,-0.430520424,-0.691352791,1.069485738,-1.601147342,15.3
149,Bobby Portis,PF/C,CHI,72,23,0.0335795,-0.3328537,-0.304768664,-0.187671742,0.656881084,-0.770354498,-0.722398677,-0.481851945,0.677253805,-1.640793476,26.3
