,PLAYER,POS,TEAM,GP,MPG,nFGp,nFTp,nX3PM,nPTS,nTREB,nAST,nSTL,nBLK,nTO
38,Donovan Mitchell,PG/SG,UTA,77,35,-0.510952932,0.393372554,1.426871472,1.664416842,-0.552844669,0.502958722,1.612627351,-0.481851945,-1.41464984
39,Kristaps Porzingis,PF/C,NYK,45,28,-0.510952932,0.272334845,0.38788739,0.69896641,0.33428755,-0.923152084,-1.014276931,2.870161585,0.154277894
40,Gary Harris,SG/SF,DEN,70,33.5,0.215090311,0.514410263,1.19598612,0.69896641,-0.996410778,-0.108231624,1.904505604,-0.900853636,0.154277894
41,Gordon Hayward,SG/SF,BOS,70,32,-0.147931311,0.756485681,0.618772742,1.290058511,-0.149602751,0.197363549,0.153236083,-0.691352791,-0.499441995
42,Clint Capela,PF/C,HOU,73,28,3.300774092,-2.63257017,-1.574638097,0.166983519,2.229524562,-1.025017142,-0.430520424,2.241659048,0.154277894
43,C.J. McCollum,PG/SG,POR,80,35.5,-0.329442121,0.87752339,1.19598612,1.447683072,-0.673817244,0.350161135,0.153236083,-0.481851945,-0.499441995
44,DeMar DeRozan,SG/SF,SAS,77,34,-0.329442121,0.756485681,-0.304768664,1.782635262,-0.391547902,0.859486423,0.153236083,-0.900853636,-0.630185973
45,Al Horford,PF/C,BOS,71,32,0.0335795,0.030259427,-0.073883312,-0.089156392,0.697205276,0.859486423,-0.722398677,0.984653974,-0.107210062
46,Jayson Tatum,SF/PF,BOS,77,32,0.215090311,0.635447972,0.272444715,0.364014219,-0.028630176,-0.617556911,0.445114337,0.356151438,0.285021872
47,Nikola Vucevic,PF/C,ORL,69,28,0.215090311,-0.211815991,-0.42021134,0.304905009,1.423040727,-0.057299095,-0.13864217,0.775153129,0.023533916
48,Tobias Harris,SF/PF,LAC,78,32,-0.147931311,0.756485681,0.849658093,0.73837255,-0.028630176,-0.108231624,0.445114337,-0.272351099,0.154277894
49,Lauri Markkanen,PF,CHI,57,32,-0.510952932,0.998561099,1.657756823,0.79748176,1.01979881,-0.821287027,-1.014276931,-0.062850254,0.677253805
50,John Collins,PF/C,ATL,77,28,2.030198417,-0.3328537,-1.343752745,-0.069453322,1.26174396,-0.719421969,-0.430520424,0.984653974,0.023533916
51,Jamal Murray,PG/SG,DEN,80,32,-0.329442121,1.482711935,0.965100769,0.69896641,-0.633493053,0.248296078,0.153236083,-0.481851945,-0.499441995
52,Enes Kanter,C,NYK,72,26,2.030198417,0.635447972,-1.459195421,0.048765098,2.068227795,-0.821287027,-1.306155184,-0.062850254,-0.107210062
53,Nikola Mirotic,SF/PF,NOR,68,29,-0.873974553,0.393372554,1.773199499,0.127577379,1.01979881,-0.770354498,-0.430520424,0.565652283,0.677253805
54,Jarrett Allen,PF/C,BKN,74,26,2.393220039,0.393372554,-1.459195421,-0.404405513,0.737529467,-1.025017142,-1.306155184,1.613156511,0.154277894
55,Hassan Whiteside,C,MIA,69,25,1.485665985,-1.180117662,-1.574638097,-0.128562532,2.148876179,-1.177814728,-1.014276931,2.451159894,0.023533916
56,Kris Dunn,PG/SG,CHI,72,32,-0.692463743,-0.574929118,-0.535654015,0.206389659,-0.391547902,1.674406884,2.780140364,0.146650592,-1.153161884
57,Blake Griffin,PF/C,DET,60,34,-0.510952932,-0.090778282,0.618772742,1.349167721,0.737529467,1.623474355,-0.722398677,-0.481851945,-1.41464984
58,Paul Millsap,PF/C,DEN,65,32,-0.147931311,-0.574929118,-0.304768664,0.265498869,0.697205276,0.044565963,1.028870844,0.984653974,-0.368698017
59,Larry Nance Jr,PF/C,CLE,70,25,2.030198417,-0.938042245,-1.459195421,-0.680248493,0.939150426,-0.770354498,1.320749097,0.565652283,1.330973694
60,Jabari Parker,SF/PF,CHI,62,32,0.396601121,-0.090778282,-0.073883312,0.73837255,0.293963358,-0.159164152,0.445114337,-0.272351099,-0.107210062
61,Lou Williams,PG/SG,LAC,78,28,-0.692463743,1.240636517,0.849658093,0.8368879,-1.238355929,0.452026193,-0.13864217,-0.900853636,-0.630185973
62,Robert Covington,SF/PF,PHI,73,28,-1.236996175,0.756485681,1.19598612,-0.502920863,-0.10927856,-0.719421969,1.904505604,0.356151438,0.285021872
63,Luka Doncic,PG/SG/SF,DAL,72,31,-0.873974553,0.030259427,0.503330066,0.186686589,0.495584317,1.317879182,0.153236083,-0.481851945,-0.499441995
64,Jeff Teague,PG,MIN,75,32,-0.510952932,0.87752339,-0.304768664,-0.049750252,-0.915762395,1.725339412,1.028870844,-0.691352791,-0.891673928
65,Josh Richardson,PG/SG,MIA,72,32,-0.329442121,0.635447972,0.618772742,-0.207374812,-0.875438203,-0.108231624,1.028870844,0.565652283,0.285021872
66,Jonas Valanciunas,C,TOR,77,24,1.667176796,0.393372554,-1.343752745,-0.049750252,1.382716535,-1.07594967,-1.598033438,0.565652283,0.415765849
67,Ricky Rubio,PG,UTA,75,30,-1.055485364,1.240636517,-0.073883312,-0.128562532,-0.35122371,1.368811711,1.612627351,-1.110354482,-0.891673928
68,Joe Ingles,SG/SF,UTA,80,31,-0.147931311,0.151297136,1.19598612,-0.601436213,-0.472196286,0.655756308,1.028870844,-0.900853636,-0.23795404
69,Aaron Gordon,SF/PF,ORL,73,33,-0.510952932,-0.453891409,0.38788739,0.75807562,0.656881084,-0.311961739,0.445114337,0.356151438,0.285021872
70,DeAndre Jordan,C,DAL,79,32,3.663795714,-2.390494752,-1.574638097,-0.601436213,3.439250315,-0.872219555,-1.014276931,1.403655666,0.285021872
71,Steven Adams,C,OKC,76,33,2.393220039,-2.269457043,-1.574638097,0.088171238,1.423040727,-0.872219555,0.445114337,0.775153129,-0.107210062
72,Dewayne Dedmon,C,ATL,65,24,1.848687607,-0.211815991,-0.651096691,-0.916685334,1.060123001,-0.923152084,-0.722398677,0.775153129,0.677253805
73,Will Barton,SG/SF,DEN,70,32,-0.692463743,0.151297136,0.618772742,0.206389659,-0.068954368,0.502958722,0.153236083,-0.062850254,-0.23795404
74,Zach LaVine,PG/SG,CHI,62,32,-0.510952932,0.393372554,0.849658093,0.81718483,-0.472196286,0.14643102,0.153236083,-0.900853636,-0.368698017
75,Taurean Prince,SF,ATL,78,31,-0.873974553,0.635447972,0.965100769,0.186686589,-0.189926943,-0.210096681,0.73699259,-0.062850254,-0.760929951
76,Jonathan Isaac,PF,ORL,69,27,-0.873974553,0.151297136,-0.535654015,-0.975794544,-0.028630176,-1.025017142,1.612627351,2.032158203,0.415765849
77,Julius Randle,PF/C,NOR,77,28,1.304155175,-0.574929118,-1.343752745,0.501935709,1.342392344,-0.057299095,-0.722398677,-0.272351099,-0.891673928
78,Evan Fournier,SG/SF,ORL,65,32,-0.329442121,0.87752339,0.965100769,0.65956027,-0.996410778,-0.108231624,0.153236083,-1.110354482,0.154277894
79,Rondae Hollis-Jefferson,SF/PF,BKN,71,29.5,0.0335795,-0.090778282,-1.343752745,0.166983519,0.737529467,-0.108231624,0.73699259,0.146650592,-0.107210062
80,Jaren Jackson Jr,PF,MEM,72,26,-0.329442121,-0.211815991,-0.651096691,-0.818169984,0.172990783,-0.872219555,-0.722398677,3.079662431,0.023533916
81,Harrison Barnes,SF/PF,DAL,76,34,-0.329442121,0.87752339,0.38788739,0.95510632,0.132666591,-0.515691854,-0.722398677,-0.900853636,0.546509827
82,Dario Saric,PF/C,PHI,78,28,-0.329442121,0.87752339,0.734215417,0.127577379,0.414935933,-0.159164152,-0.722398677,-0.691352791,-0.499441995
83,Isaiah Thomas,PG,DEN,73,25,-0.692463743,1.361674226,0.849658093,0.73837255,-1.359328504,0.604823779,-0.722398677,-1.110354482,-0.368698017
84,Nicolas Batum,SG/SF,CHA,75,32,-1.055485364,0.998561099,0.157002039,-0.148265602,0.011694016,0.961351481,0.153236083,-0.481851945,-0.499441995
85,Lonzo Ball,PG,LAL,70,30,-1.418506985,-3.358796424,0.38788739,-0.719654633,0.374611741,1.725339412,1.320749097,0.356151438,-0.368698017
